threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.75,0.9918195724043619,0.15263157894736842,0.8583509513742071,0.2591765081391637,406,280999,2254,67
0.76,0.9923235797917709,0.1613031386571315,0.8583509513742071,0.27157190635451506,406,281142,2111,67
0.77,0.992869881505396,0.1718882303132938,0.8583509513742071,0.2864197530864197,406,281297,1956,67
0.78,0.9934373303821292,0.18417462482946795,0.8562367864693446,0.3031437125748503,405,281459,1794,68
0.79,0.9939801075685697,0.1980440097799511,0.8562367864693446,0.3216838760921366,405,281613,1640,68
0.8,0.994709684695798,0.22034820457018497,0.8562367864693446,0.35049762007788837,405,281820,1433,68
0.81,0.9953617222249636,0.24500907441016334,0.8562367864693446,0.380997177798683,405,282005,1248,68
0.8200000000000001,0.9959749899550975,0.27352742044685174,0.854122621564482,0.41435897435897434,404,282180,1073,69
0.8300000000000001,0.9965494878862,0.3074581430745814,0.854122621564482,0.4521544487968662,404,282343,910,69
0.8400000000000001,0.9970112009473929,0.34123624047417445,0.8520084566596194,0.4873035066505442,403,282475,778,70
0.85,0.9974411932639237,0.380547686496695,0.8520084566596194,0.5261096605744126,403,282597,656,70
0.86,0.997765449764914,0.41658031088082903,0.8498942917547568,0.5591098748261474,402,282690,563,71
0.87,0.9980403628853189,0.45310734463276836,0.8477801268498943,0.5905743740795288,401,282769,484,72
0.88,0.9981883930270754,0.4756242568370987,0.8456659619450317,0.60882800608828,400,282812,441,73
0.89,0.9983011778969851,0.49440993788819876,0.8414376321353065,0.622848200312989,398,282846,407,75
0.9,0.9984174872940795,0.515625,0.8372093023255814,0.6381950040290089,396,282881,372,77
0.91,0.9985020759465117,0.532520325203252,0.8308668076109936,0.649050371593724,393,282908,345,80
0.92,0.9985796155445748,0.5494350282485876,0.8224101479915433,0.6587637595258256,389,282934,319,84
0.93,0.9986994494688538,0.5771513353115727,0.8224101479915433,0.6782911944202267,389,282968,285,84
0.9400000000000001,0.9987769890669167,0.5972222222222222,0.8181818181818182,0.6904549509366636,387,282992,261,86
0.9500000000000001,0.998882724882457,0.6270358306188925,0.813953488372093,0.7083716651333946,385,283024,229,88
0.9600000000000001,0.998981411643628,0.6569965870307167,0.813953488372093,0.7271010387157697,385,283052,201,88
0.97,0.999101245567907,0.698905109489051,0.8097251585623678,0.7502448579823702,383,283088,165,90
0.98,0.9991223927310151,0.7105263157894737,0.7991543340380549,0.7522388059701491,378,283099,154,95
0.99,0.99917878516597,0.7419354838709677,0.7780126849894292,0.759545923632611,368,283125,128,105
