threshold,tp,tn,fp,fn,accuracy,precision,recall,f1,cost_fp1_fn5,cost_fp1_fn10,cost_fp1_fn20
0.61,420,279111,4142,53,0.9852146084602751,0.0920648838228847,0.8879492600422833,0.16683217477656406,4407,4672,5202
0.62,420,279348,3905,53,0.9860499214030438,0.09710982658959537,0.8879492600422833,0.17507294706127552,4170,4435,4965
0.63,417,279540,3713,56,0.986716057040948,0.1009685230024213,0.8816067653276956,0.18118618292417987,3993,4273,4833
0.64,417,279734,3519,56,0.9873998153147755,0.10594512195121951,0.8816067653276956,0.18915853935132682,3799,4079,4639
0.65,416,279883,3370,57,0.9879214453381079,0.109878499735869,0.879492600422833,0.19535102136651794,3655,3940,4510
0.66,416,280031,3222,57,0.9884430753614403,0.11434854315557999,0.879492600422833,0.20238384821211386,3507,3792,4362
0.67,416,280138,3115,57,0.9888201997702009,0.1178136505239309,0.879492600422833,0.2077922077922078,3400,3685,4255
0.68,416,280241,3012,57,0.9891832260702227,0.12135355892648775,0.879492600422833,0.2132786465008972,3297,3582,4152
0.6900000000000001,414,280324,2929,59,0.9894687127721816,0.12384086150164524,0.8752642706131079,0.21698113207547173,3224,3519,4109
0.7000000000000001,413,280429,2824,60,0.9898352635993881,0.1275872721655854,0.8731501057082452,0.22264150943396224,3124,3424,4024
0.7100000000000001,412,280526,2727,61,0.9901736182091172,0.13125199107996177,0.8710359408033826,0.22812846068660023,3032,3337,3947
0.72,410,280639,2614,63,0.9905648407266165,0.13558201058201058,0.8668076109936576,0.23448670288818985,2929,3244,3874
0.73,410,280726,2527,63,0.9908714745916836,0.13959822948586995,0.8668076109936576,0.2404692082111437,2842,3157,3787
0.74,409,280831,2422,64,0.9912380254188901,0.14447191805015897,0.864693446088795,0.24757869249394673,2742,3062,3702
0.75,409,280944,2309,64,0.9916362969907587,0.15047829286239883,0.864693446088795,0.2563459730492009,2629,2949,3589
0.76,407,281067,2186,66,0.9920627647801048,0.15696104897801774,0.8604651162790697,0.26549249836921074,2516,2846,3506
0.77,407,281208,2045,66,0.9925597231131443,0.16598694942903752,0.8604651162790697,0.27829059829059827,2375,2705,3365
0.78,407,281389,1864,66,0.9931976625335711,0.17921620431527963,0.8604651162790697,0.2966472303206997,2194,2524,3184
0.79,407,281549,1704,66,0.9937615868831197,0.19279962103268594,0.8604651162790697,0.315015479876161,2034,2364,3024
0.8,407,281794,1459,66,0.9946250960433658,0.21811361200428725,0.8604651162790697,0.34801197092774694,1789,2119,2779
0.81,407,281993,1260,66,0.9953264769531167,0.24415116976604678,0.8604651162790697,0.38037383177570094,1590,1920,2580
0.8200000000000001,406,282171,1082,67,0.9959503182648047,0.2728494623655914,0.8583509513742071,0.4140744518103008,1417,1752,2422
0.8300000000000001,406,282354,899,67,0.9965953067396008,0.3111111111111111,0.8583509513742071,0.45669291338582674,1234,1569,2239
